cnae,id,descricao,divisao,status,anexos,fatorR,motivo,origem
2811-9/00,2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2812-7/00,2812700,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2813-5/00,2813500,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2814-3/01,2814301,"Fabricação de compressores para uso industrial, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2814-3/02,2814302,"Fabricação de compressores para uso não industrial, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2815-1/01,2815101,Fabricação de rolamentos para fins industriais,28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2815-1/02,2815102,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2821-6/01,2821601,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2821-6/02,2821602,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2822-4/01,2822401,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2822-4/02,2822402,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2823-2/00,2823200,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2824-1/01,2824101,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2824-1/02,2824102,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2825-9/00,2825900,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2829-1/01,2829101,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2829-1/99,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2831-3/00,2831300,"Fabricação de tratores agrícolas, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2832-1/00,2832100,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2833-0/00,2833000,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2840-2/00,2840200,"Fabricação de máquinas-ferramenta, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2851-8/00,2851800,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2852-6/00,2852600,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2853-4/00,2853400,"Fabricação de tratores, peças e acessórios, exceto agrícolas",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2854-2/00,2854200,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2861-5/00,2861500,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
